# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cap-IntPro
# prediction_type;rolling
# method; Part-GFS_te(n_components=14)
"Cap-IntPro";"IP.TCO";"Emp.JobVac";"Cons.Hea";"Cons.EGF";"HStartsNSW";"IP.ME";"IP.PCCR";"Cap.BioRes";"HCE.ITA";"ResInv";"COMMP";"Imports";"HCE.MV";"ExrateCNY"
1.752128542;-40.36165591;-5.933333333;0.685388078;1.111304761;-28.99808512;23.52313857;-0.790514091;16.03778288;0.161443771;24.41351639;84.54554655;17.23908629;-0.389621674;35.93194142
0.719239855;14.61186963;-5.933333333;10.4389666;-0.346951188;-57.92937153;47.11321426;15.14008965;-49.1928468;17.4768077;14.45954777;22.45316897;28.95041019;0.379276439;27.62795185
9.635354321;-23.04867941;19.5;-3.948258148;-5.874231445;-66.28226616;-35.64137118;13.11592913;10.71927726;0.230883815;-0.55639281;35.37300181;14.92628261;-4.218430335;-5.060735042
7.79035974;-10.13662878;2;14.23009567;16.01870935;-8.00049463;24.76691506;-20.03252797;56.82345362;-10.89268284;16.31951803;51.0621916;13.82074851;-0.405941423;-10.52286762
-2.069224962;17.11889151;8.1;-2.282304793;3.839382849;9.700684266;-11.17837216;-11.80026576;121.9989615;-4.342841748;8.527604209;-58.87913154;-5.424049679;4.254031253;15.18220851
1.72509663;-11.45574831;12.6;9.939068096;1.137980853;18.05759211;-2.02943104;27.75679737;-1.54024064;3.079865269;-6.195883519;-41.49805433;16.21461854;-3.101156114;21.05964094
10.8199938;-30.36476787;-1.7;7.930084287;-10.84077191;-4.558023182;-6.150813148;-17.89922606;-0.308761111;8.339516323;8.131564103;56.64748329;7.81189581;-0.0094444;7.384328182
10.81466026;29.61429861;-2;2.217415813;-5.045423265;9.361923997;-19.04114111;19.01498689;-6.225806616;-4.367289042;7.416178256;-15.28329875;14.65193895;-1.188898891;18.71291
15.58074874;-16.48532295;-4.1;10.67093579;-8.932239289;21.43415992;35.63431434;13.15186965;-28.94395121;4.32012054;-5.079773561;-15.12933338;19.44126636;-1.217052074;-16.22247903
10.04533128;-30.90968068;-4;-5.862772807;-6.0194615;38.89138796;-14.94368636;-15.01320386;-50.62776606;-13.40693105;-3.749180908;-31.39079046;1.163655662;1.95910632;-13.25688514
-2.235009923;50.01550903;2.6;12.13793488;14.25556417;-27.61605263;26.27810371;10.67711804;-20.0139831;1.828546846;-12.96717157;-4.479354973;9.858233364;0.790400142;12.40721597
10.96671605;-25.02017956;-3.7;8.389624273;-1.885642951;-21.30704964;-6.605298224;-34.90364655;7.968390998;10.90385852;-11.68432668;33.45120644;-0.59946629;3.609833325;-16.39677962
1.79181187;-40.95431942;-3.1;10.65620397;-18.40804624;6.75962982;3.898666341;6.293148488;44.03322984;5.128435891;1.387044099;-40.46113822;1.059603269;-6.025151071;11.49853022
6.334591846;47.65068457;-10.1;7.073736771;-2.057693312;-11.37556425;-5.075714763;-9.477244903;-37.3827099;-14.73539295;9.824695388;11.3461737;0.948289079;2.806172863;-8.068243322
-6.292027334;6.586105206;-15.1;4.780134756;-4.817995802;17.36407662;-18.08444597;-6.039369885;-18.25713714;-1.311565432;-6.973289235;54.65451707;-13.10770729;-4.089532838;-2.042231082
5.705025132;-6.195670817;-6.4;0.520813462;3.267749328;26.73777277;2.05023514;0.810537258;-3.671621904;13.74425179;16.43052057;-31.27225158;11.07502427;2.004506544;-28.43325275
-0.882121649;19.42313966;-3.3;1.466882231;0.147901647;10.13015992;-5.76735017;-12.75172252;-20.60360834;-0.498092204;3.699372416;17.0301058;-5.833613616;-0.027434725;-30.00409674
-5.291362413;14.95842334;-1;3.704292452;7.689023939;23.3984825;-2.497406656;-14.03652792;-24.00720389;3.015910387;7.08365343;-18.12831768;-1.992249492;3.743741262;0.526215202
7.22109872;-69.43452794;4.4;7.959568438;-4.889233543;-6.383367402;-11.86527673;5.588484239;-24.07806431;-3.23364736;18.85702139;7.148116308;-9.361639652;0.832031548;-4.101220094
19.44033036;21.15578557;3.4;2.775328524;-11.24317851;-5.060800697;-13.56062067;-1.711232556;-3.420912726;12.12457659;10.06228232;-49.97606163;11.30357468;-2.498700626;21.63387906
-21.11783335;31.8305594;-1;2.317656563;13.07451584;-0.645982287;6.181138449;-3.444585334;14.45940565;-30.83816906;0.099554494;22.04420941;-5.089159385;-0.00391442;-14.09348203
5.55071769;-50.43856565;4.5;6.557048258;3.782534097;8.412876381;1.312193632;15.68828526;-19.39773998;18.93393226;19.42883831;20.69719885;-7.230196721;-0.84427547;-29.35690396
