# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;TotComp
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=14)
"TotComp";"Cons.CloFoo";"Cons.RenDwe";"Cons.FurEqu";"Cons.RecCul";"Emp.TotalPer";"Emp.FtPer";"Gov.Nat";"RetSales";"Emp.JobVac";"AveComp";"Credit.Total";"Credit.Nar";"ExrateCNY";"SPASXAllOrds"
7.966056426;7.449854262;3.128209194;2.558892123;8.585043978;1.766881246;2.348664325;-0.532268874;7.393433363;10.2;6.072900752;0.881055019;0.929166189;-4.965692381;31.97959326
5.908477758;16.23539583;2.877632424;14.62779486;4.014235985;3.440398349;2.962486844;11.2042336;9.24717565;9.8;1.415617492;0.585297917;-1.777902486;8.659859321;9.781206352
7.20085264;6.456381203;2.760743036;9.007771687;1.86426204;4.302171119;4.662538977;8.389792235;4.91904679;0.8;2.670099773;-0.973682446;0.532121178;-0.610012274;-1.670443056
14.49072449;5.933359718;3.018157841;3.698693746;11.00671336;1.872713954;1.778349908;9.796862449;6.358932224;7.2;11.84225936;-1.812605136;-1.705467069;6.744338806;33.1465408
9.568369399;3.212307767;2.953371009;11.52694492;1.985451648;2.743565205;4.41881106;5.334747592;10.06795054;-1.3;5.722235636;1.653295808;2.055520568;-1.136908898;25.74583947
10.87930332;2.150356345;2.711803533;0.210360247;4.431558309;3.752994004;3.811169816;3.206502197;4.264375987;7.8;7.705872018;2.458402801;-0.101901712;17.07255365;27.68038635
6.685573122;11.7254476;2.537436883;11.96437999;9.371304118;2.910821955;1.97836958;-1.834288158;10.27094559;4.7;3.797972452;0.583828306;3.669409422;3.719486356;4.356673473
6.348326423;4.409598691;2.593840957;4.818418754;5.399066959;2.688855666;4.114366466;2.300509576;6.505515881;10;3.115175058;-0.863163562;4.0101544;11.15675251;16.01847603
8.292828829;5.870333739;2.52574904;3.863310056;4.521991315;3.680434396;2.400490128;5.358216345;1.086091464;-5.1;4.053862007;-2.377108301;-3.229113255;-6.43475989;-66.03702466
10.21310757;-12.23296266;2.499687992;-0.749672238;-6.543500994;2.483491222;1.828868071;4.693630949;0.62858446;6.3;7.855576969;-5.333481763;-4.612009317;4.525294193;-0.419746194
2.326599669;7.092858979;2.474014275;-2.660151595;-4.182846341;2.117917947;4.524717511;24.65263125;2.877399668;-5.933333333;-0.052386877;-0.749643839;-2.048442478;-41.40346989;-47.16034035
